time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,repair_gross,repair_gross_relative,repair_events,increment_left,increment_left_relative,increment_left_gross,increment_left_gross_relative,increment_moved_gross,increment_moved_gross_relative,led_repair_retained,led_repair_retained_relative,led_repair_attempted,led_repair_attempted_relative,led_repair_events,led_repairnet_retained,led_repairnet_retained_relative,led_repairnet_attempted,led_repairnet_attempted_relative,led_repairnet_events,inc_left_retained,inc_left_retained_relative,inc_left_attempted,inc_left_attempted_relative,inc_left_events,inc_moved_retained,inc_moved_retained_relative,inc_moved_attempted,inc_moved_attempted_relative,inc_moved_events,led_fix_pbl_retained,led_fix_pbl_retained_relative,led_fix_pbl_attempted,led_fix_pbl_attempted_relative,led_fix_pbl_events,led_fix_pbl_inventory_fraction,led_fix_free_retained,led_fix_free_retained_relative,led_fix_free_attempted,led_fix_free_attempted_relative,led_fix_free_events,led_fix_free_inventory_fraction,led_fix_sfc_retained,led_fix_sfc_retained_relative,led_fix_sfc_attempted,led_fix_sfc_attempted_relative,led_fix_sfc_events,led_fix_sfc_inventory_fraction,led_fix_rad_retained,led_fix_rad_retained_relative,led_fix_rad_attempted,led_fix_rad_attempted_relative,led_fix_rad_events,led_fix_rad_inventory_fraction,led_inc_pbl_retained,led_inc_pbl_retained_relative,led_inc_pbl_attempted,led_inc_pbl_attempted_relative,led_inc_pbl_events,led_inc_pbl_inventory_fraction,led_inc_free_retained,led_inc_free_retained_relative,led_inc_free_attempted,led_inc_free_attempted_relative,led_inc_free_events,led_inc_free_inventory_fraction,led_inc_sfc_retained,led_inc_sfc_retained_relative,led_inc_sfc_attempted,led_inc_sfc_attempted_relative,led_inc_sfc_events,led_inc_sfc_inventory_fraction,led_inc_rad_retained,led_inc_rad_retained_relative,led_inc_rad_attempted,led_inc_rad_attempted_relative,led_inc_rad_events,led_inc_rad_inventory_fraction,ledger_cadence_step
0.0,2.798899160482885e-9,2.6429235736493592e-18,1.4229920488648097e-9,1.3436922930840986e-18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,1.0
21600.0,4.139463356553753e-6,3.9088673264024145e-15,2.2755271141315725e-6,2.1487649051631796e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.3207855140249277e-162,0.0,0.0,0.0,0.0,0.0,1.3441452552620967e-6,1.2692672981183365e-15,1.953175833484598e-6,1.8443707651474187e-15,1.0215694785875572e7,0.009646611680179997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.614683321061921e-5,5.3019075883467227e-14,4.330615043240951e-5,4.089370574799414e-14,0.0,3.434007684919e7,0.032427102940632994,2.1457967174123578e7,0.02026261366588764,129600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0590369797337567e7,0.010000414766274359,6.8286610953009045e6,0.0064482586121306605,56202.0,0.11226055697254168,2.6714769285070106e7,0.025226576441475336,1.632047619119546e7,0.015411315583719444,129600.0,0.027693580907780707,141785.65955077743,0.00013388724195202413,93955.36484875779,8.872141728614869e-5,34592.0,0.044834661056819505,957.2948223540693,9.039670436772071e-7,620.8264905605599,5.862422674850262e-7,68903.0,0.010165360227679455,1.0
43200.0,5.751654126636488e-6,5.433457167518875e-15,4.302962964955816e-6,4.0649114930664e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,9.00093462591202e-136,0.0,0.0,0.0,0.0,0.0,1.049430534057808e-6,9.913732174337217e-16,2.0365379897614953e-6,1.923871236649802e-15,1.3236821556800948e7,0.012504525025225671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011650244160371096,1.1005721352986001e-13,8.883840077272835e-5,8.392362176196664e-14,0.0,4.824482893194464e7,0.04557579537719722,3.317319933086177e7,0.031337968818234356,259200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7890419325094182e7,0.016900673262266692,1.3193391834922457e7,0.012463497952243096,112337.0,0.18715719231823855,3.483536432242185e7,0.03290817837676226,2.2416081305424105e7,0.021175963462856565,259200.0,0.03617483960938864,512142.4281272485,0.00048380933304239155,407541.25759858335,0.00038499498029684445,83173.0,0.08693658423626419,3906.860873226416,3.6907228332495213e-6,2974.840441857586,2.810264276181098e-6,152874.0,0.021204972700146093,1.0
64800.0,6.588735486806146e-6,6.226383371931854e-15,4.14692422083575e-6,3.918861223823306e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.342045623470688e-123,0.0,0.0,0.0,0.0,0.0,1.8350778870397245e-6,1.7341564955740279e-15,2.5799793745920623e-6,2.438091604990819e-15,1.7174363258127466e7,0.016229847142605204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017430614867076607,1.6472006015151647e-13,0.00013311578971958451,1.257949937907386e-13,0.0,5.487584046472864e7,0.0518579052497368,3.783050865688203e7,0.035749993382586776,388800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2555251596480478e7,0.021314809764527647,1.636112698212299e7,0.015461335364206194,168532.0,0.23296884139315602,3.740973369243381e7,0.03535235923150999,2.421253035793006e7,0.02288094532173872,388800.0,0.03891255038850647,904891.2033776285,0.0008551260789570746,665194.3763657806,0.0006286115465403468,134474.0,0.10548730728753193,6274.688992584341,5.929608084237918e-6,4510.636419594951,4.262570815907843e-6,239321.0,0.02324811416815123,1.0
86400.0,8.190914637337357e-6,7.747446706390796e-15,5.202777436426864e-6,4.921091562862724e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,6.729246803950724e-121,0.0,0.0,0.0,0.0,0.0,1.8851832620885203e-6,1.783116721572692e-15,3.4290142692996444e-6,3.2433624916262697e-15,1.8025117937966358e7,0.017049212057983196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002341259801527005,2.214500619437781e-13,0.00017737756459018623,1.677740874392242e-13,0.0,6.131281629181116e7,0.05799325199584202,4.258383434828424e7,0.040278284144632796,518400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6336135679936774e7,0.024910259313716206,1.9098585538138133e7,0.018064560574186456,224776.0,0.27044900142534034,4.071927143250633e7,0.03851467135408395,2.6574081420957346e7,0.02513532232916582,518400.0,0.04242204027909323,1.3481481667002281e6,0.0012751574807308408,983645.1510366852,0.00093038918400128,186288.0,0.1264187016075937,9486.53643370096,8.972921670225644e-6,6757.823112415923,6.391944823353428e-6,326816.0,0.026299277987479455,1.0
108000.0,9.438214086813236e-6,8.929851323977132e-15,6.644750473393108e-6,6.286849743663933e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.8090045424737292e-115,0.0,0.0,0.0,0.0,0.0,3.2166682190695512e-6,3.0434114643559677e-15,3.9727150281508845e-6,3.758735945975477e-15,2.0461671868597634e7,0.01935956166557741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029195846506556363,2.7623294638491756e-13,0.00022074339925554006,2.0885367909331504e-13,0.0,7.24283982234285e7,0.06852724697913756,4.952779417452173e7,0.046860119331363026,648000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.439272241518351e7,0.03254025549425766,2.403369766291632e7,0.02273919037237307,280986.0,0.3493262189253859,4.430687654652143e7,0.0419204116955813,2.8862319306992307e7,0.02730773194016616,648000.0,0.046226476561031966,2.4957335766427685e6,0.0023613079316367296,1.6817799312431903e6,0.0015911956019977226,238156.0,0.18840357366359545,15488.03345253613,1.4653814244918247e-5,10427.975200826648,9.866301749142046e-6,414105.0,0.035488263651876406,1.0
129600.0,1.130438970415465e-5,1.070301329293333e-14,6.756110301934062e-6,6.3966954663238514e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.7064661086559245e-114,0.0,0.0,0.0,0.0,0.0,5.577552946146833e-6,5.280835576882933e-15,5.8062649922107e-6,5.497380488491552e-15,2.240426053557449e7,0.02121238780740771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003487002379306677,3.301499133959699e-13,0.00026416922003660783,2.501158176275982e-13,0.0,7.797429816385713e7,0.0738261835973496,5.3612865929972924e7,0.05076074266175197,777600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.775179437404706e7,0.03574345609024872,2.6431376392025188e7,0.025025267199555102,337141.0,0.3812141344829251,4.711783977336975e7,0.04461124205965185,3.0872012187824834e7,0.029229667896573837,777600.0,0.049226858004569336,3.0782923341526054e6,0.0029145318441968827,2.0911637544745118e6,0.0019799170099041447,290237.0,0.20021799604208163,18951.336433494078,1.7943154037939025e-5,12818.396269706922,1.2136477002233689e-5,501672.0,0.036387580818986034,1.0
151200.0,1.360422639395621e-5,1.2887370666906434e-14,6.108581178113088e-6,5.7866980165961475e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0205488513228006e-112,0.0,0.0,0.0,0.0,0.0,8.142127775177823e-6,7.713089713256104e-15,8.407037270666343e-6,7.964040172523705e-15,2.420588357890902e7,0.022930388319615934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040667427265884417,3.852451393176931e-13,0.00030843447960650957,2.921819550804718e-13,0.0,8.220092839977777e7,0.07786946517755679,5.6620743783432536e7,0.053637192696029026,907200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0254722128522925e7,0.03813355571574925,2.8176041401339244e7,0.026691344215388647,393328.0,0.40370002158616725,4.932248503530712e7,0.046723505508945044,3.2390903838028632e7,0.030684110357222925,907200.0,0.05159740278045295,3.5664703847589274e6,0.003378540204340608,2.4256260950348144e6,0.002297811112576159,343452.0,0.20274025644483454,21918.656147966325,2.076368314664338e-5,14820.932497738575,1.4039964140291801e-5,588389.0,0.036503612041013274,1.0
172800.0,1.6758654971595526e-5,1.588689455519064e-14,6.567048015299639e-6,6.225439901637075e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.6841470849768516e-110,0.0,0.0,0.0,0.0,0.0,1.1818208660064866e-5,1.1203442945267345e-14,1.1918877030750363e-5,1.1298874696373506e-14,2.6173153155934695e7,0.02481166448440832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004650693501957994,4.408771312455909e-13,0.00035277322808332286,3.344224871240003e-13,0.0,8.610456275557949e7,0.08162553089953918,5.971613589140463e7,0.05660979092642888,1.0368e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2384605705013536e7,0.040179821276836857,2.981950609579103e7,0.028268339543635453,449643.0,0.42314229668892067,5.167375195074503e7,0.048985759889679556,3.415915853214407e7,0.032382249686148105,1.0368e6,0.05412526885948055,4.055431011375344e6,0.0038444734952041482,2.7962412874510107e6,0.0026507849561852597,397395.0,0.207034183824679,24904.517696398947,2.360902156295784e-5,17014.006580164845,1.6128963151191627e-5,674813.0,0.036359405697887794,1.0
194400.0,2.1908582151218196e-5,2.0784386124710314e-14,5.977029863836324e-6,5.67033027109841e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.2080326641204684e-107,0.0,0.0,0.0,0.0,0.0,1.7903471742948044e-5,1.698479012059581e-14,1.7903471742948044e-5,1.698479012059581e-14,2.8182940721564837e7,0.026736788261501204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005232174986846038,4.963696164729327e-13,0.0003960853118452547,3.7576096905295713e-13,0.0,9.359576923169108e7,0.08879308546411713,6.453941862536858e7,0.06122770463717086,1.1664e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.703157660765514e7,0.04461824327655287,3.2742344329491504e7,0.03106223499426825,506057.0,0.46792726602462525,5.48537467543594e7,0.05203903406712639,3.6262250218932115e7,0.03440152380008025,1.1664e6,0.057524129250807646,5.177940980540408e6,0.004912245070342395,3.500919635759349e6,0.0033212767945896733,451371.0,0.24128965202033634,30904.735868338616,2.9318919815813735e-5,20820.28931100801,1.9751936902229322e-5,761739.0,0.040300200683166115,1.0
