t_seconds,error_n1_ρq_tot,increment_ρq_tot,error_n1_ρq_tag_pbl,increment_ρq_tag_pbl,error_n1_ρq_tag_free,increment_ρq_tag_free,error_n1_ρq_tag_evap,increment_ρq_tag_evap,error_n2_ρq_tot,increment_ρq_tot,error_n2_ρq_tag_pbl,increment_ρq_tag_pbl,error_n2_ρq_tag_free,increment_ρq_tag_free,error_n2_ρq_tag_evap,increment_ρq_tag_evap
60.0,6.237619850990524e-11,3.429195566944095e-6,2.8453229009768582e-11,1.7138482951871138e-6,6.256098976242991e-11,3.4291881975253866e-6,4.6566564192310233e-35,5.567076274914843e-26,3.5579146463850995e-15,3.429195566944095e-6,5.549050485241276e-16,1.7138482951871138e-6,3.8662517386632876e-15,3.4291881975253866e-6,1.601809385773515e-39,5.567076274914843e-26
120.0,1.689561294926026e-11,1.1341057098897754e-6,6.980658709718589e-12,4.7448467920357185e-7,1.6894280915094164e-11,1.202759848809488e-6,4.8137089758479544e-18,6.75618976104626e-8,7.797870545113406e-16,1.1341057098897754e-6,5.561671860671984e-17,4.7448467920357185e-7,7.409522350060663e-16,1.202759848809488e-6,5.395354505039886e-23,6.75618976104626e-8
180.0,2.083592385423744e-11,1.2624715328888851e-6,4.429712529936888e-12,6.454080590207058e-7,1.971118392376144e-11,1.0964076066366207e-6,1.0919624974108889e-17,1.6635421671802475e-7,1.462109680611714e-15,1.2624715328888851e-6,1.6156883314815178e-16,6.454080590207058e-7,1.407922150709439e-15,1.0964076066366207e-6,2.3943242355499874e-22,1.6635421671802475e-7
240.0,1.9086904582737373e-11,9.460504389334194e-7,6.361434270415432e-12,6.057996832036626e-7,1.5771104787406827e-11,6.659118904532696e-7,1.2420345415669835e-16,2.8179984569868065e-7,4.690934106947727e-16,9.460504389334194e-7,2.458644620900093e-16,6.057996832036626e-7,2.9313647723477876e-16,6.659118904532696e-7,8.619433671164447e-22,2.8179984569868065e-7
300.0,1.5637591544806506e-11,6.295949956181319e-7,1.0406628582984793e-11,5.246783852131101e-7,1.1226479224412924e-11,3.85754845870126e-7,2.6810796825055077e-16,4.0958564665961e-7,4.170356921988095e-16,6.295949956181319e-7,3.1724740928943813e-16,5.246783852131101e-7,2.0892054409137517e-16,3.85754845870126e-7,2.627253237242936e-20,4.0958564665961e-7
360.0,2.8347047619206384e-11,1.853791447662454e-6,1.4080179617913347e-11,1.081047023956356e-6,2.0254321469005786e-11,1.3093139052603672e-6,2.590048345117273e-15,5.474023861822219e-7,8.983680672369169e-16,1.853791447662454e-6,3.3638416412075925e-16,1.081047023956356e-6,6.417846086266278e-16,1.3093139052603672e-6,6.31126970957982e-20,5.474023861822219e-7
420.0,1.9304874025385226e-11,9.566448424298151e-7,1.59268940103947e-11,7.019643652364277e-7,8.199905857495876e-12,3.8880225764656494e-7,7.666159949391262e-16,6.937716771051572e-7,4.623028534357534e-16,9.566448424298151e-7,3.587096713605568e-16,7.019643652364277e-7,1.6186286108305407e-16,3.8880225764656494e-7,1.817432877085308e-20,6.937716771051572e-7
480.0,2.8712602674020975e-11,1.8805816530630827e-6,1.973397067310658e-11,1.2599147995214614e-6,1.3003965176175449e-11,1.0377544312973569e-6,1.645024485435128e-14,8.476507914190298e-7,5.94744845659097e-16,1.8805816530630827e-6,4.106868234036028e-16,1.2599147995214614e-6,2.729065775972675e-16,1.0377544312973569e-6,1.5415483615689123e-18,8.476507914190298e-7
540.0,2.1902456598179504e-11,1.1765803942518143e-6,2.1123567402178983e-11,1.0639117954458045e-6,2.1009274327796524e-12,1.7523557309622478e-7,2.9566726885320027e-15,1.0082573608843063e-6,4.780047531652596e-16,1.1765803942518143e-6,3.8838366578032286e-16,1.0639117954458045e-6,7.514852485238511e-17,1.7523557309622478e-7,4.739668968838791e-20,1.0082573608843063e-6
600.0,2.911624007643128e-11,1.6753586851526292e-6,2.5100731253896828e-11,1.3653629304764476e-6,4.805913356884096e-12,5.072687415190366e-7,6.2657950656035925e-15,1.1749784397665314e-6,4.480232543735852e-16,1.6753586851526292e-6,3.2772648927305663e-16,1.3653629304764476e-6,1.4915456107760178e-16,5.072687415190366e-7,2.6323220773058538e-20,1.1749784397665314e-6
