t_seconds,total,negative_area,gain
150.0,0.0,0.0,0.0
300.0,0.0,0.0,0.0
450.0,0.0,0.0,0.0
600.0,0.0,0.0,0.0
750.0,0.0,0.0,0.0
900.0,0.0,0.0,0.0
1050.0,0.0,0.0,0.0
1200.0,0.0,0.0,0.0
1350.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0
1650.0,0.0,0.0,0.0
1800.0,0.0,0.0,0.0
1950.0,0.0,0.0,0.0
2100.0,0.0,0.0,0.0
2250.0,0.0,0.0,0.0
2400.0,0.0,0.0,0.0
2550.0,0.0,0.0,0.0
2700.0,0.0,0.0,0.0
2850.0,0.0,0.0,0.0
3000.0,0.0,0.0,0.0
3150.0,0.0,0.0,0.0
3300.0,0.0,0.0,0.0
3450.0,0.0,0.0,0.0
3600.0,0.0,0.0,0.0
3750.0,0.0,0.0,0.0
3900.0,0.0,0.0,0.0
4050.0,0.0,0.0,0.0
4200.0,0.0,0.0,0.0
4350.0,0.0,0.0,0.0
4500.0,0.0,0.0,0.0
4650.0,0.0,0.0,0.0
4800.0,0.0,0.0,0.0
4950.0,0.0,0.0,0.0
5100.0,0.0,0.0,0.0
5250.0,0.0,0.0,0.0
5400.0,0.0,0.0,0.0
5550.0,0.0,0.0,0.0
5700.0,0.0,0.0,0.0
5850.0,0.0,0.0,0.0
6000.0,0.0,0.0,0.0
6150.0,0.0,0.0,0.0
6300.0,0.0,0.0,0.0
6450.0,0.0,0.0,0.0
6600.0,0.0,0.0,0.0
6750.0,0.0,0.0,0.0
6900.0,0.0,0.0,0.0
7050.0,0.0,0.0,0.0
7200.0,0.0,0.0,0.0
7350.0,0.0,0.0,0.0
7500.0,0.0,0.0,0.0
7650.0,0.0,0.0,0.0
7800.0,0.0,0.0,0.0
7950.0,0.0,0.0,0.0
8100.0,0.0,0.0,0.0
8250.0,0.0,0.0,0.0
8400.0,0.0,0.0,0.0
8550.0,0.0,0.0,0.0
8700.0,0.0,0.0,0.0
8850.0,0.0,0.0,0.0
9000.0,0.0,0.0,0.0
9150.0,0.0,0.0,0.0
9300.0,0.0,0.0,0.0
9450.0,0.0,0.0,0.0
9600.0,0.0,0.0,0.0
9750.0,8.92898170495494e-7,0.0,0.0
9900.0,1.2680198478365118e-6,0.0,0.0
10050.0,7.705713246743674e-7,0.0,0.0
10200.0,2.6645560106000623e-8,0.0,0.0
10350.0,8.843175183915148e-8,0.0,0.0
10500.0,7.629220121471636e-7,0.0,0.0
10650.0,2.1422090461899814e-6,0.0,0.0
10800.0,3.4172578053009995e-6,0.0,0.0
10950.0,6.2970435414028915e-6,0.0,0.0
11100.0,8.212878500449102e-6,0.0,0.0
11250.0,1.1677905579660003e-5,0.0,0.0
11400.0,1.1686935103308428e-5,0.0,0.0
11550.0,1.4032788352864164e-5,0.0,0.0
11700.0,1.1308032175290594e-5,0.0,0.0
11850.0,1.2576309824572454e-5,0.0,0.0
12000.0,2.007790872502997e-5,0.0,0.0
12150.0,2.4568704260224535e-5,0.0,0.0
12300.0,3.0015631666054318e-5,0.0,0.0
12450.0,2.7510831845167217e-5,0.0,0.0
12600.0,3.154611198777612e-5,0.0,0.0
12750.0,3.3928321279748334e-5,0.0,0.0
12900.0,3.631789002106984e-5,0.0,0.0
13050.0,3.63619974946117e-5,0.0,0.0
13200.0,4.30792373579933e-5,0.0,0.0
13350.0,3.9631444893597806e-5,0.0,0.0
13500.0,4.727775346653825e-5,0.0,0.0
13650.0,4.6157368090132476e-5,0.0,0.0
13800.0,8.212655766959791e-5,0.0,0.0
13950.0,6.62002900984885e-5,0.0,0.0
14100.0,9.079548242450105e-5,0.0,0.0
